TEAM,Games Played,Won,Offensive Efficiency,Defensive Efficiency,Power Rating,Field Goal Shot,Field Goal Allowed,Turnover allowed,Turn Over Commited,Free Throw Shot,Free Throw Allowed,Two Point Shot,Two Point Allowed,Three Point Shot,Three Point Allowed
Weber St.,28,20,105.4,106.1,0.4784,56,50.1,17.5,15.9,35.1,31.8,52.5,49.2,41,34.7
Tulane,31,14,105.4,106.2,0.4774,51.5,50.5,18.8,17.2,34.5,34.6,50.9,49.8,35,34.5
Cal St. Fullerton,30,20,101.6,102.5,0.476,51.6,48.2,20.7,18.2,45.6,35.2,52,45,33.8,36.4
Pacific,31,14,105.2,106.1,0.4756,48.5,53,17.2,18.3,40.5,35.2,48.4,51.7,32.6,36.6
Richmond,32,12,107.1,108,0.4755,52.1,55.4,16.9,19,29.7,31.4,53.2,55.3,33.4,37.2
Seattle,31,20,103.7,104.6,0.4744,51,47.2,19.6,15.5,34.5,41,47.4,44.8,37.2,34.5
Austin Peay,32,19,104.7,105.6,0.4734,49.9,54,19.8,22.1,35.9,39.9,49,53,34.8,37.1
Princeton,28,13,104.9,106.1,0.4689,53.9,52.2,16.4,16.6,26.2,32.5,52.1,51.2,37.3,35.9
Troy,31,16,104.7,105.9,0.4676,51.4,50.2,18,16.6,33.6,31.6,52.1,49.7,33.7,34
Ohio,30,14,99.9,101,0.4672,51,49.9,18,18.1,30.9,30.1,48.4,50.7,37.2,32.4
Fort Wayne,29,18,106.9,108.2,0.4657,52.9,53.8,15.7,19.9,31.6,29.7,51.3,53.4,36.6,36.4
Towson,30,18,104,105.5,0.4584,51.6,50.6,18.2,18.7,35.4,39.3,51.1,49.4,35.3,35
UNC Asheville,32,21,105.1,106.7,0.4561,54.6,52.5,19.4,18.5,31.3,33.9,52,52.4,39.4,35.1
Radford,34,23,101.3,102.8,0.4559,49.3,50.1,18.7,20.2,31.2,31.7,47.1,48.9,35,34.6
Connecticut,32,14,104.1,105.8,0.4549,47.5,51.1,18.5,18.3,32.4,33.9,46.6,48.5,32.6,36.4
North Dakota St.,29,15,103.3,104.9,0.4541,53.7,49.6,18.4,14.4,30.4,33.5,52.5,47.8,36.8,35.3
Monmouth,31,11,102.7,104.3,0.4537,52.3,51.4,20.9,18.3,44.1,41.6,49.3,49.9,38.9,35.4
Winthrop,28,19,104.8,106.6,0.4528,54.8,49.7,19.7,18.6,35.9,32.1,54.8,48.1,36.5,34.9
Illinois Chicago,34,20,100.2,102,0.45,50.6,46.7,20.8,17.2,35.3,34.2,49.8,45.8,34.9,32.3
Miami OH,32,16,100,101.9,0.4475,50.1,51.4,19.3,18.1,27,28.5,50,51.9,33.5,33.7
Liberty,34,22,102.8,104.7,0.447,52.8,51.4,18.2,18.2,33.7,34.4,51.1,47.3,36.8,37.5
Washington St.,31,12,107.5,109.5,0.4469,54.1,53.5,19.4,16.4,24.7,28.5,51.7,54.2,37.7,34.9
Duquesne,32,16,104.8,106.8,0.4469,49.7,50.8,17.6,18.4,35.4,36.4,47.8,51,35,33.5
Nicholls St.,28,21,101.8,103.8,0.4465,51.9,50.2,20.4,21.1,37.3,45.2,51.6,49.7,34.8,34.1
Southeastern Louisiana,31,22,102.7,104.8,0.4426,51.2,49.6,19.6,20.3,35.3,29,50.9,48.4,34.4,34.6
Hawaii,28,17,99.1,101.4,0.4328,50.1,49.9,19.5,19.9,40.8,38.7,50.9,50.1,32.5,33.1
Western Michigan,30,17,105.3,108,0.4287,49.3,54.2,15.6,19.7,34.1,33.7,48,52.5,34.5,37.6
Yale,30,16,102.5,105.2,0.4244,52.7,52.4,18.8,17.7,31,33.8,55.3,53.4,32.8,33.7
Wagner,31,23,101.8,104.6,0.4236,49.8,49,19.7,20.4,34.2,46.7,47,45.8,36,36.2
Long Beach St.,31,15,104.6,107.5,0.4208,49.6,53.7,20.7,18.7,40.3,28.6,48.4,52.5,35.1,37.5
Massachusetts,33,13,106.4,109.6,0.4157,52.5,51.5,18.6,16.5,25.1,33.2,47.9,51.2,40,34.7
Southern Miss,30,16,104.7,107.9,0.4139,50.3,56,14.6,19.8,28.3,32.9,49.8,55.1,34.1,38.1
Denver,28,15,102,105.2,0.4133,52.4,51.3,21.8,15.7,32.8,37,49.2,52,39.5,33.5
Milwaukee,31,16,99.2,102.5,0.4086,50.9,50.1,18.1,18,27.7,27.4,50.9,46.5,33.9,37.4
