,Team,Games_Played,Won,Offensive_Efficiency,Defensive_Efficiency,Power_Rating,Field_Goal_Shot,Field_Goal_Allowed,Turnover_Allowed,Turn_Over_Commited,Free_Throw_Shot,Free_Throw_Allowed,Two_Point_Shot,Two_Point_Allowed,Three_Point_Shot,Three_Point_Allowed,Conference
250,Charleston Southern,28,15,Bad,Good,Bad,49.0,53.9,19.5,22.1,31.3,35.1,49.0,49.9,32.6,39.2,ASun
251,Gardner Webb,29,14,Bad,Good,Bad,49.1,50.4,20.1,17.1,28.0,37.3,48.1,50.8,34.0,33.2,B10
252,Hampton,32,19,Bad,Good,Bad,48.8,48.9,16.9,16.9,33.8,35.7,49.1,48.2,32.0,33.3,B10
253,Drexel,32,13,Bad,Better,Bad,49.6,52.2,17.3,15.6,31.8,30.6,50.2,51.1,32.2,36.3,B10
254,Boston University,30,15,Bad,Good,Bad,52.8,52.8,20.1,20.1,32.8,30.0,51.1,52.2,37.3,35.8,B10
255,Elon,30,14,Bad,Better,Bad,52.3,52.5,16.7,14.2,24.0,23.6,52.5,50.0,34.7,37.1,B10
256,Southeast Missouri St.,29,14,Good,Best,Bad,54.3,55.2,18.1,17.2,37.7,34.5,50.7,54.1,39.3,37.9,B10
257,LIU Brooklyn,34,18,Bad,Better,Bad,52.1,50.0,19.5,16.5,38.7,31.8,52.3,50.5,34.6,32.8,B10
258,Texas Southern,36,16,Good,Better,Bad,50.5,51.2,17.2,16.2,42.9,31.2,48.5,49.4,35.9,36.6,B10
259,High Point,27,14,Bad,Good,Bad,49.3,50.1,19.1,20.4,34.1,40.1,47.6,48.8,35.9,34.8,B10
260,Brown,26,11,Bad,Better,Bad,48.5,54.4,18.4,19.3,40.4,40.0,48.6,53.9,32.1,37.0,B10
261,Montana St.,30,13,Bad,Better,Bad,47.8,54.9,17.1,18.4,39.0,36.4,46.1,55.9,33.8,35.5,B10
262,Green Bay,30,13,Bad,Better,Bad,48.6,50.9,18.6,17.8,32.3,31.4,44.7,51.7,36.2,33.1,B10
263,Portland,29,10,Bad,Good,Bad,50.6,52.4,18.1,15.8,34.6,33.5,46.5,51.7,38.3,35.7,B10
264,Northern Illinois,30,12,Bad,Better,Bad,49.5,54.3,17.0,17.4,33.1,33.4,49.8,54.6,32.6,36.0,B10
265,South Florida,32,10,Bad,Good,Bad,48.0,51.1,21.4,16.5,33.1,32.6,44.8,52.0,36.1,33.0,B10
266,UMKC,29,10,Bad,Good,Bad,47.8,52.5,18.2,20.0,34.4,42.5,45.6,51.7,33.5,36.0,B10
267,New Hampshire,29,10,Bad,Good,Bad,46.3,50.8,17.4,13.7,30.5,41.5,44.3,50.6,32.6,34.1,B10
268,Arkansas St.,30,11,Good,Better,Bad,49.4,56.0,18.6,18.8,33.1,35.3,49.2,55.3,33.2,38.2,B10
269,Army,29,13,Bad,Better,Bad,52.3,52.4,18.8,19.7,24.5,38.1,48.8,51.1,38.1,36.2,B10
270,Robert Morris,33,16,Poor,Bad,Bad,47.4,50.5,20.9,22.3,34.3,36.2,45.9,51.1,33.2,32.8,B10
271,Rice,29,7,Bad,Better,Bad,48.0,52.6,20.7,16.5,35.2,28.5,48.0,51.7,32.1,36.0,B10
272,Holy Cross,31,12,Bad,Good,Bad,52.6,51.0,19.1,20.0,29.7,34.0,55.1,49.4,32.6,35.4,B10
273,Santa Clara,29,11,Bad,Better,Bad,48.6,56.6,17.2,18.9,30.2,32.4,47.1,55.1,33.8,40.0,B10
274,UMass Lowell,29,12,Bad,Better,Bad,52.1,55.4,18.7,20.3,39.2,33.5,52.4,55.0,34.4,37.5,B10
275,North Florida,30,14,Good,Best,Bad,53.6,54.0,19.3,13.7,27.7,23.5,51.5,54.3,37.5,35.4,B10
276,Western Illinois,24,12,Bad,Good,Bad,49.9,51.2,18.6,14.5,28.3,29.3,48.6,48.9,34.9,36.6,B10
277,Quinnipiac,33,12,Bad,Better,Bad,50.3,53.6,19.4,16.3,37.0,30.1,49.8,50.2,33.9,39.6,B10
278,Prairie View A&M,33,16,Bad,Better,Bad,48.9,52.7,18.5,22.5,39.2,47.9,49.2,54.4,32.3,33.2,B10
279,Abilene Christian,28,16,Bad,Good,Bad,50.4,51.4,20.3,21.6,31.5,43.2,51.9,52.3,31.8,33.2,B10
280,IUPUI,28,11,Bad,Better,Bad,48.0,54.6,20.5,21.2,32.9,37.8,45.2,55.6,35.5,35.3,B10
281,Lafayette,30,10,Bad,Better,Bad,53.3,52.0,19.3,14.7,28.8,26.0,51.4,52.2,37.4,34.4,B10
282,Fairleigh Dickinson,29,13,Bad,Better,Bad,49.8,51.6,19.2,19.3,30.8,35.9,49.3,50.1,33.9,36.0,B10
283,Eastern Kentucky,29,11,Bad,Better,Bad,49.8,55.3,19.1,19.1,33.4,35.0,48.2,52.9,35.1,39.8,B10
